步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
606,2.0468706361232925,1.2219337307515836,2393.6066680963845,0.20677508920192422,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
607,2.0192972843906203,1.2569634580588263,2421.905635175975,0.20399336638162552,"[[10, 0, 1, 29]]","[[4, 0, 1, 29]]"
608,1.9838513628470082,1.282867423792256,2447.9935800713156,0.20042679128971494,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
609,1.95768968700493,1.3100486858273206,2472.1902735637964,0.1977906489785717,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
610,1.9300571534145976,1.3451069753203382,2494.4303656858647,0.19500937774324584,"[[5, 0, 1, 29]]","[[4, 0, 1, 29]]"
611,1.9024627952976176,1.3709999197314497,2514.487506271625,0.19223396580827995,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
612,1.8750212759860618,1.398224989694337,2532.8722596102325,0.18947539202858543,"[[4, 0, 1, 29]]","[[10, 0, 1, 29]]"
613,1.8403977820763582,1.4333253796254093,2548.9249090748617,0.18600062026310407,"[[4, 0, 1, 29]]","[[4, 0, 1, 29]]"
614,1.814517722518546,1.4592177359662664,2562.7082478873945,0.18340207217545948,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
615,1.78781113088537,1.486478541396783,2574.817188172863,0.1807222446342686,"[[10, 0, 1, 29]]","[[5, 0, 1, 29]]"
616,1.7532411046157406,1.5136894400845382,2584.6596102792832,0.17725785300839753,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
617,1.7274654553795872,1.5406649036616713,2592.478015697982,0.17467445854502325,"[[33, 0, 1, 29]]","[[4, 0, 1, 29]]"
618,1.700501504371989,1.574832996168266,2598.2741825317444,0.17197376435742412,"[[6, 0, 1, 29]]","[[4, 0, 1, 29]]"
619,1.6656313647564678,1.6003536550521442,2601.7357552470494,0.1684841920380181,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
620,1.6397092956235535,1.626682258751631,2603.186529648043,0.16589091491788815,"[[33, 0, 2, 29]]","[[10, 0, 1, 29]]"
621,1.6125758392879097,1.6608919924037138,2602.604804153523,0.16317799826818055,"[[6, 0, 1, 29]]","[[4, 0, 1, 29]]"
622,1.5775548212312736,1.6863796679509453,2599.6778496815828,0.15967805780877495,"[[4, 0, 2, 29]]","[[33, 0, 1, 29]]"
623,1.5515415789110276,1.7130240255505402,2594.7251792586503,0.15708040187099437,"[[29, 0, 2, 29]]","[[10, 0, 1, 29]]"
624,1.5243116627690572,1.7475732394243613,2587.726902561943,0.15436261759958164,"[[6, 0, 1, 29]]","[[5, 0, 1, 29]]"
