Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Status
33.6,B0200,34218.99817608418,366.65899612891917,8562.010972697346,8653.607783399051,ALIVE
33.800000000000004,A0100,-31382.836772081824,145.72151604306055,2087.786125666975,2164.9018914024355,ALIVE
33.800000000000004,A0200,-32362.5762465554,235.23978962144065,2197.013678140731,2279.020713342065,ALIVE
33.800000000000004,B0100,33987.317467215835,12.674701230656865,705.7236596332514,796.1851984538823,ALIVE
33.800000000000004,B0200,34167.514371224956,361.1857068763147,8584.30889066176,8675.629692865026,ALIVE
34.0,A0100,-31301.444948838074,147.54893972397804,2043.515014190334,2120.2318789271058,ALIVE
34.0,A0200,-32293.42155657726,231.54897241426625,2158.658511964928,2240.315818444133,ALIVE
34.0,B0100,33939.39590337158,13.222242719260976,647.6378219829949,737.8452676100493,ALIVE
34.0,B0200,34116.13481828664,355.5464436745515,8606.594196569966,8697.639958811376,ALIVE
34.2,A0100,-31220.05529763777,149.47659838152322,1999.0932501594325,2075.412261048639,ALIVE
34.2,A0200,-32224.31164297317,228.09509167878605,2120.223120399123,2201.53168038961,ALIVE
34.2,B0100,33891.73211772412,13.78265423938683,589.3380481082859,679.2931270323515,ALIVE
34.2,B0200,34064.85917594758,349.73628021399054,8628.86382585092,8719.635512535739,ALIVE
34.4,A0100,-31138.72085179384,151.5129301375964,1954.4159859550964,2030.3384502022238,ALIVE
34.4,A0200,-32155.261141776064,224.88527387310387,2081.690202868107,2162.6510709411623,ALIVE
34.4,B0100,33844.32739144021,14.35608927366593,530.8271656662455,620.5316053839773,ALIVE
34.4,B0200,34013.6870791404,343.75017798512636,8651.114550846658,8741.613122164394,ALIVE
34.6,A0100,-31057.454747709613,153.55702002061298,1909.435491541035,1984.9627763574513,ALIVE
34.6,A0200,-32086.28498175986,221.92420638389012,2043.0422100810938,2123.656513910338,ALIVE
34.6,B0100,33797.18298222612,14.94270061455427,472.1080198519576,561.5635487348468,ALIVE
34.6,B0200,33962.6181363227,337.58298865645156,8673.342970260326,8763.569382093528,ALIVE
34.800000000000004,A0100,-30976.222578130004,155.5432033910838,1864.2088395322116,1939.3421403232724,ALIVE
34.800000000000004,A0200,-32017.39820080952,219.21417168306107,2004.261598614583,2084.530538820094,ALIVE
34.800000000000004,B0100,33750.30012382362,15.542640322833904,413.1834728481972,502.39182000863855,ALIVE
34.800000000000004,B0200,33911.65192651979,331.22945717339644,8695.545498221694,8785.500702036525,ALIVE
35.0,A0100,-30894.98211374152,157.50599502234036,1818.8140680810593,1893.554374508223,ALIVE
35.0,A0200,-31948.615771188015,216.75511598609046,1965.331049733808,2045.2558988443404,ALIVE
35.0,B0100,33703.68002551805,16.156059669903698,354.0564032523216,443.0192984150559,ALIVE
35.0,B0200,33860.787996202096,324.6842256517539,8717.718352947468,8807.403295673803,ALIVE
35.2,A0100,-30813.744161587812,159.49234717305808,1773.2332668127601,1847.581622348723,ALIVE
35.2,A0200,-31879.952432565373,214.54475912298585,1926.2336641128622,2005.8157647164405,ALIVE
35.2,B0100,33657.323871656256,16.78310908907224,294.72970551251274,383.4488788775504,ALIVE
