Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
167.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23508.174705075064,23203.39765470593,8311.146831396314,367.6188761926405,B0100,22.777296194436904,Trajectory
167.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23628.007193480524,22839.316772027054,8332.946502999303,374.23910616031833,B0100,23.044047879321933,Trajectory
167.4,A1001,A0100,AIM-120C-7,ACTIVE,23536.7629150812,23270.857447130762,8316.681844040795,367.0997368546885,B0100,22.7712787009704,Trajectory
167.4,A1002,A0100,AIM-120C-7,ACTIVE,23656.942805426275,22908.069908369744,8338.485989357627,373.71115631971037,B0100,23.036800615499494,Trajectory
167.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23565.32100669503,23338.220990074413,8322.16927056709,366.58246823681833,B0100,22.76547771885848,Trajectory
167.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23685.843330552365,22976.72691672631,8343.978348706829,373.18520667552,B0100,23.02976820939237,Trajectory
167.8,A1001,A0100,AIM-120C-7,ACTIVE,23593.850911720478,23405.48786512465,8327.609148787087,366.06728217913883,B0100,22.75989101736699,Trajectory
167.8,A1002,A0100,AIM-120C-7,ACTIVE,23714.710786177297,23045.287378668967,8349.4236086663,372.6614611775831,B0100,23.022948410229304,Trajectory
168.0,A1001,A0100,AIM-120C-7,ACTIVE,23622.354444811273,23472.657714237877,8333.001967663298,365.55443200877977,B0100,22.75451120361676,Trajectory
168.0,A1002,A0100,AIM-120C-7,ACTIVE,23743.547072109184,23113.750935152104,8354.822244630646,372.1401741084416,B0100,23.016333650109576,Trajectory
168.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23650.833899399066,23539.729965734707,8338.34892580068,365.04393220003266,B0100,22.749317344141723,Trajectory
168.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23772.354565741927,23182.11702486284,8360.175437345975,371.6214314476688,B0100,23.009900915099283,Trajectory
168.4,A1001,A0100,AIM-120C-7,ACTIVE,23679.292288656234,23606.70367414271,8343.651055568294,364.5350294265131,B0100,22.74429643995106,Trajectory
