步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
250,50.0,46.465886835804234,140.77221947391413,5724.555462698403,0.13286095288681565,"[[0, 4, 0]]","[[0, 0, 0]]",-544.8315420921454,-2150.977727124925,9555.610168265457,4380.292281673878,766.8451883520368,9069.375220631771,9.555610168265456,9.069375220631771,0.4862349476336849,0.4179826254732283,0.39385805809467284,0.4867174389812554,0
251,50.2,45.57240454931138,141.99279706411588,5686.459923462723,0.07838067362213508,"[[0, 4, 0]]","[[0, 0, 0]]",-538.5456863929758,-2124.801791831985,9564.69948988588,4371.427763138682,743.6450328523897,9079.114224298202,9.564699489885879,9.079114224298202,0.4855852655876767,0.41776120647680826,0.3907820279897268,0.4861248491574184,0
252,50.400000000000006,44.997176273747726,143.21458432788782,5647.905910762569,0.036730996514876324,"[[0, 4, 0]]","[[0, 0, 0]]",-531.7565919762046,-2098.715456116842,9573.666054655467,4361.998709832088,720.8590193758687,9088.726869316333,9.573666054655467,9.088726869316334,0.48493918533913316,0.417882515316288,0.3876861066083225,0.4855431135132928,0
253,50.6,44.628172773525655,144.43485002057804,5608.97329653369,0.0005756391990558996,"[[0, 0, 0]]","[[0, 0, 0]]",-524.583172218332,-2072.6553334772225,9582.495290341303,4352.022710413716,698.4990300879889,9098.211190452368,9.582495290341303,9.098211190452368,0.48428409988893506,0.4185003956440018,0.38461249068921916,0.48496185798803104,0
254,50.800000000000004,44.36514113769195,145.6555169869235,5569.717947662633,-0.03283856936724305,"[[0, 0, 0]]","[[0, 0, 0]]",-517.0957333254455,-2046.5997601403242,9591.194609415881,4341.514900352488,676.5713191029466,9107.557733047386,9.591194609415881,9.107557733047386,0.48363687636849484,0.418869159585033,0.3815917700070924,0.48438242416005295,0
255,51.0,44.051905576614296,146.83490444502212,5530.131529330771,-0.04597549125418254,"[[0, 0, 0]]","[[0, 2, 0]]",-509.3130273601064,-2020.575520477063,9599.803811421736,4330.466449925969,655.034567510125,9116.766654885103,9.599803811421737,9.116766654885103,0.4830371565366338,0.41912663073179457,0.380278899477343,0.48381411116172224,0
256,51.2,43.61368890893385,147.94057627654144,5490.2230808531585,-0.03617970786190483,"[[0, 0, 0]]","[[0, 0, 0]]",-501.2066305821745,-1994.6368817608818,9608.391209702435,4318.917482582855,633.8518496621375,9125.828038251235,9.608391209702434,9.125828038251235,0.48256317145119887,0.4191047827145414,0.3775930367652709,0.483393406370185,0
257,51.400000000000006,43.0724954524556,149.14342973829565,5450.030443677323,-0.06970243475277016,"[[0, 0, 0]]","[[0, 0, 0]]",-492.7333705511983,-1968.830344652174,9617.014149243521,4306.8935630074175,613.1094562859424,9134.735546127471,9.617014149243522,9.134735546127471,0.4822786031160504,0.4190702554755089,0.37469192715111677,0.4831661696825389,0
258,51.6,42.397576378249276,150.34033479205758,5409.5319239597375,-0.07580601162368339,"[[0, 0, 0]]","[[0, 0, 0]]",-483.8503405515912,-1943.1859274536578,9625.691052650793,4294.402001253789,592.8227859325834,9143.489793272533,9.625691052650792,9.143489793272533,0.4822012593782592,0.4189312986099809,0.3718563767408954,0.4831427578156404,0
259,51.800000000000004,41.56576243048368,151.49767937058937,5368.654749121961,-0.07066683479199298,"[[0, 0, 0]]","[[0, 2, 0]]",-474.5009844939741,-1917.743977703421,9634.42203665847,4281.430803954453,572.9520372481286,9152.095552377974,9.63442203665847,9.152095552377974,0.48232648428049707,0.41860662970119433,0.3707177160841633,0.4832842625528375,0
260,52.0,40.58521264277967,152.5811389486245,5327.364809973344,-0.043516974540480646,"[[0, 0, 0]]","[[0, 0, 0]]",-464.62606294663874,-1892.544011004708,9643.185588830374,4268.014959774924,553.4577814303102,9160.545963164015,9.643185588830374,9.160545963164015,0.48263962566635854,0.4181267014261475,0.36821849337448675,0.4836377898273909,0
261,52.2,39.58596687035647,153.76127327950928,5285.695591802954,-0.07503229168177938,"[[0, 4, 0]]","[[0, 0, 0]]",-454.1883834088776,-1867.611618186233,9651.928885847143,4254.188910807536,534.4210927718227,9168.836928724611,9.651928885847143,9.16883692872461,0.4830919571225323,0.41744886981250945,0.36551158860585675,0.4841307027466666,0
262,52.400000000000006,38.740656333833925,154.93712305322865,5243.658293542921,-0.11229724574474176,"[[0, 4, 0]]","[[0, 0, 0]]",-443.21833574461834,-1842.911561836168,9660.602066671574,4239.960754614285,515.8563171774932,9176.970659114284,9.660602066671574,9.176970659114284,0.48363140755729006,0.417424821734472,0.3628663416226978,0.48472257715952516,0
263,52.6,38.15835771105927,156.0768462709257,5201.255750148557,-0.16101867474500864,"[[0, 4, 0]]","[[0, 2, 0]]",-431.8012773814162,-1818.3790295951935,9669.182974111898,4225.313464123065,497.7262492976017,9184.953159814931,9.669182974111898,9.184953159814931,0.48422981429696677,0.4175752497704245,0.36189870611858826,0.4853433451700031,0
