Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s,Tactical_Phase
121.4,A0200,F-16,-27369.172844233846,-497.49232573051086,5997.641725499943,180.99623408716354,-4.2324404089117085,165.00215542451923,TR_DOR
121.4,B0100,F-16,1678.0531400766292,10101.040433963855,2954.191761047532,152.46142182338883,-4.115184196041975,355.6164209217613,TR_DOR
121.4,B0200,F-16,434.5925022356398,-796.7163521773955,4078.035534907816,174.3580020060839,-0.5789767407308981,338.11898547370146,TR_DOR
121.60000000000001,A0100,F-16,-28004.27337564108,1248.0072846724797,5907.948771839489,178.33377895874733,7.7623286469588715,239.6089154910064,TR_DOR
121.60000000000001,A0200,F-16,-27402.14836056015,-498.26210103534504,5997.022020299693,181.0433122394946,-6.764094223868512,164.90689274351462,TR_DOR
121.60000000000001,B0100,F-16,1614.9728779965471,10133.41109611266,2947.7477542413963,152.7686941108119,-3.904165647857049,356.313979200864,TR_DOR
121.60000000000001,B0200,F-16,367.2657529479793,-790.4441664331014,4078.2412810674114,174.2483733734503,-0.3592568913210312,338.0362410844133,TR_DOR
121.80000000000001,A0100,F-16,-28052.12816700382,1249.1746719897656,5909.117861590332,178.10861408710923,4.7633524981951085,239.3200759763329,TR_DOR
121.80000000000001,A0200,F-16,-27435.09310555336,-499.0264429687086,5995.857544624828,181.24244911150967,-6.258219520270876,164.89929604280672,TR_DOR
121.80000000000001,B0100,F-16,1551.750335455289,10165.811312447924,2941.314872717446,153.24326457134467,-3.8701856501499408,357.0084153157328,TR_DOR
121.80000000000001,B0200,F-16,299.9573634704275,-784.1158014587534,4078.505097305345,174.31222485921256,-0.5681523838715805,338.08511007376427,TR_DOR
122.0,A0100,F-16,-28099.97648134925,1250.341729224332,5910.344281362154,178.09622613707813,1.167737890461296,239.53005040832193,TR_DOR
122.0,A0200,F-16,-27468.05776811226,-499.7983576535662,5994.177442128532,181.17246220209415,-2.3198583066975718,165.30810789798093,TR_DOR
122.0,B0100,F-16,1488.3275056078778,10198.114051675002,2934.7903054469857,153.83105086981183,-4.105738131244959,357.7373615044011,TR_DOR
122.0,B0200,F-16,232.6393512492889,-777.7447514946716,4078.672210831703,174.25031236516455,-0.35355015987874683,338.1162270478524,TR_DOR
122.2,A0100,F-16,-28147.86014848285,1251.5230537729185,5911.103938863841,177.551663889606,-2.159634048510948,239.38090666662222,TR_DOR
122.2,A0200,F-16,-27501.09600193603,-500.5731716269893,5992.321119084825,181.2488920242656,3.233574913292888,165.62831685154097,TR_DOR
122.2,B0100,F-16,1424.6935595316465,10230.292346632357,2928.05173788062,154.35249848424334,-4.713111768182507,358.5222839356167,TR_DOR
122.2,B0200,F-16,165.30476389647015,-771.3417189616669,4078.7898017448465,174.24189830251515,-0.5915087400055696,338.28727666026424,TR_DOR
122.4,A0100,F-16,-28195.66490874351,1252.7468176386683,5911.367713682551,177.1667943235919,-4.34664998902175,238.81827742734072,TR_DOR
122.4,A0200,F-16,-27534.173701465654,-501.37562753135535,5990.822330599416,181.40224913067848,8.19380929585406,165.51122940107012,TR_DOR
122.4,B0100,F-16,1360.8525467437114,10262.359478595632,2921.0193694150466,154.51778937644872,-5.610945410466894,359.35944971668965,TR_DOR
122.4,B0200,F-16,97.95759167928009,-764.9304789436092,4078.848878664374,174.09727571327946,-0.4020570678455279,338.1573143579702,TR_DOR
122.60000000000001,A0100,F-16,-28243.378664006243,1254.0231922636685,5911.008455728737,177.52698870094724,-3.101178384221179,238.63605544326063,TR_DOR
122.60000000000001,A0200,F-16,-27567.214496852557,-502.16849802988145,5990.05266119949,181.42570006203752,11.885490605129606,165.0803718556255,TR_DOR
122.60000000000001,B0100,F-16,1296.8111278852812,10294.325236414712,2913.614452796028,154.16979932530379,-6.466247932546356,360.22233075901715,TR_DOR
122.60000000000001,B0200,F-16,30.643809490555896,-758.4925778128934,4079.056877296798,174.19586203385893,-0.6216589055385088,338.13991023666654,TR_DOR
122.80000000000001,A0100,F-16,-28291.08427907685,1255.3135956813749,5910.100682175621,177.8231118985094,-0.13383770398894884,238.70910900953302,TR_DOR
122.80000000000001,A0200,F-16,-27600.17260905022,-502.90767050876457,5990.0096095419085,181.34756435058713,14.217507480031124,164.54860155782458,TR_DOR
122.80000000000001,B0100,F-16,1232.608513367475,10326.240333652702,2905.7292963785303,153.4791091460964,-6.91892023798527,361.07310249148617,TR_DOR
122.80000000000001,B0200,F-16,-36.673875517311444,-752.0154493823859,4079.1844135540155,174.1391993865855,-0.39674739433561435,338.16201030754087,TR_DOR
123.0,A0100,F-16,-28338.795393675897,1256.5841294309303,5909.321185505904,178.15022967970918,3.9142041934200615,238.5059009245084,TR_DOR
